playerID,name,teamID,rating,goals,assists,minutes
560,Sergio Romero,89.0,85,4,9,1745
557,Matteo Darmian,89.0,68,15,14,549
548,Daley Blind,89.0,65,17,15,1332
628,Chris Smalling,89.0,88,6,13,2871
1006,Luke Shaw,89.0,73,15,12,985
551,Morgan Schneiderlin,89.0,72,12,6,512
654,Michael Carrick,89.0,72,20,8,1636
554,Juan Mata,89.0,69,18,5,1926
555,Memphis Depay,89.0,88,6,6,1016
631,Ashley Young,89.0,68,17,8,628
629,Wayne Rooney,89.0,86,19,12,1378
552,Ander Herrera,89.0,88,23,3,2254
627,Antonio Valencia,89.0,82,16,9,686
907,Bastian Schweinsteiger,89.0,67,7,5,2574
651,Michel Vorm,82.0,83,7,6,1664
638,Kyle Walker,82.0,78,2,15,763
639,Toby Alderweireld,82.0,66,8,13,794
640,Jan Vertonghen,82.0,65,24,14,2723
660,Ben Davies,82.0,67,13,13,1728
914,Nabil Bentaleb,82.0,71,10,8,884
643,Eric Dier,82.0,72,21,10,1406
642,Mousa Dembélé,82.0,81,18,3,1879
646,Christian Eriksen,82.0,84,2,12,1213
648,Nacer Chadli,82.0,65,3,13,2734
647,Harry Kane,82.0,82,21,6,1971
649,Ryan Mason,82.0,71,13,11,1917
644,Erik Lamela,82.0,87,13,11,1497
645,Dele Alli,82.0,85,11,2,2031
455,Artur Boruc,73.0,87,11,14,2822
456,Simon Francis,73.0,82,6,5,1894
458,Steve Cook,73.0,78,10,1,1100
457,Tommy Elphick,73.0,72,11,8,687
459,Charlie Daniels,73.0,79,19,13,1980
461,Matt Ritchie,73.0,83,20,9,2088
460,Andrew Surman,73.0,73,0,11,789
462,Dan Gosling,73.0,90,24,12,636
466,Marc Pugh,73.0,65,9,0,742
465,Joshua King,73.0,89,5,3,2169
468,Callum Wilson,73.0,90,11,5,2494
957,Yann Kermorgant,73.0,70,19,10,2832
472,Eunan O&#039;Kane,101.0,87,25,13,2865
464,Max Gradel,73.0,78,14,5,553
662,Brad Guzan,71.0,75,19,11,578
674,Leandro Bacuna,71.0,73,4,7,2129
665,Micah Richards,71.0,69,14,2,2839
875,Ciaran Clark,71.0,71,1,6,2255
961,Jordan Amavi,71.0,89,7,11,2742
668,Idrissa Gueye,71.0,75,6,11,740
669,Ashley Westwood,71.0,68,21,4,801
677,Jordan Veretout,71.0,67,11,10,2739
672,Jordan Ayew,71.0,77,4,3,2084
890,Gabriel Agbonlahor,71.0,68,24,0,2299
679,Scott Sinclair,71.0,76,23,10,2455
667,Carlos Sánchez,71.0,76,2,0,1576
899,Kieran Richardson,71.0,84,3,10,680
671,Rudy Gestede,71.0,73,23,6,1489
600,Tim Howard,72.0,90,1,14,2461
585,Seamus Coleman,72.0,66,7,10,2551
587,Phil Jagielka,72.0,88,19,7,1593
586,John Stones,72.0,79,4,2,1013
909,Brendan Galloway,72.0,82,9,12,1392
589,James McCarthy,72.0,68,0,9,1293
590,Gareth Barry,72.0,77,10,6,2835
595,Kevin Mirallas,72.0,67,22,6,1683
592,Ross Barkley,72.0,82,25,3,1756
596,Tom Cleverley,72.0,74,3,8,2879
594,Romelu Lukaku,72.0,85,9,2,2035
601,Arouna Koné,72.0,84,14,13,1421
598,Bryan Oviedo,72.0,76,15,13,584
824,Steven Naismith,72.0,83,0,10,511
564,Heurelho Gomes,90.0,71,10,10,2108
565,Nyom,90.0,87,6,6,2510
566,Sebastian Prödl,90.0,67,23,6,2377
581,Craig Cathcart,90.0,66,17,1,2044
568,José Holebas,90.0,86,6,15,1143
577,Ikechi Anya,90.0,72,6,15,1868
570,Valon Behrami,90.0,89,17,1,1843
572,Etienne Capoue,90.0,74,16,8,532
1016,Miguel Layún,90.0,67,24,13,1392
582,Jurado,90.0,72,8,3,1158
574,Troy Deeney,90.0,68,17,3,1925
571,Ben Watson,90.0,77,15,14,545
578,Juan Carlos Paredes,90.0,73,19,5,798
573,Odion Ighalo,90.0,79,23,10,2520
745,Kasper Schmeichel,75.0,85,4,12,1370
955,Ritchie de Laet,75.0,76,22,7,2054
747,Robert Huth,75.0,70,22,0,1782
748,Wes Morgan,75.0,76,21,9,1544
757,Jeffrey Schlupp,75.0,76,0,0,1032
753,Marc Albrighton,75.0,71,12,0,2102
784,Andy King,75.0,86,18,14,1252
752,Daniel Drinkwater,75.0,73,21,9,1670
750,Riyad Mahrez,75.0,87,16,4,933
755,Jamie Vardy,75.0,86,1,12,2381
754,Shinji Okazaki,75.0,85,8,1,2700
751,N&#039;Golo Kanté,75.0,67,5,1,1543
749,Christian Fuchs,75.0,84,1,10,1252
974,Yohan Benalouane,75.0,85,9,0,2884
580,Costel Pantilimon,75.0,70,6,2,750
742,Billy Jones,147.0,82,25,15,1265
736,Younes Kaboul,138.0,88,22,3,2845
927,Sebastián Coates,103.0,72,19,13,1112
730,Patrick van Aanholt,107.0,70,8,9,1396
738,Lee Cattermole,176.0,79,1,8,1406
929,Adam Johnson,85.0,77,14,10,1760
740,Sebastian Larsson,261.0,73,20,11,1855
733,Jack Rodwell,76.0,85,0,12,890
781,Jeremain Lens,137.0,87,2,2,785
735,Jermain Defoe,130.0,82,12,10,562
930,Steven Fletcher,75.0,72,21,15,630
1034,Adam Matthews,238.0,86,8,1,2840
785,John Ruddy,102.0,75,21,12,663
926,Steven Whittaker,205.0,89,21,9,2227
821,Sebastien Bassong,138.0,89,11,14,690
788,Russell Martin,262.0,66,3,15,1958
789,Robbie Brady,161.0,72,0,3,1500
791,Alexander Tettey,71.0,66,9,11,523
792,Jonny Howson,160.0,90,20,3,2715
793,Wes Hoolahan,110.0,75,12,0,2776
801,Graham Dorrans,207.0,77,7,7,2195
1011,Bradley Johnson,90.0,73,12,1,2590
467,Lewis Grabban,173.0,67,16,0,1537
1010,Gary Hooper,207.0,71,22,4,1495
790,Nathan Redmond,86.0,83,3,3,557
794,Cameron Jerome,87.0,87,10,10,1120
635,Alex McCarthy,166.0,75,15,13,977
510,Joel Ward,95.0,71,19,7,862
511,Damien Delaney,160.0,85,17,5,2072
512,Scott Dann,97.0,80,2,2,2108
513,Pape Souaré,135.0,77,5,6,2318
522,Wilfried Zaha,224.0,85,6,11,1400
633,James McArthur,158.0,79,16,0,1057
516,Yohan Cabaye,126.0,69,14,1,526
514,Jason Puncheon,164.0,73,17,8,1653
632,Jordon Mutch,98.0,69,22,1,1870
882,Glenn Murray,169.0,72,0,3,2369
519,Connor Wickham,234.0,88,1,1,1868
515,Mile Jedinak,111.0,82,7,9,2804
518,Yannick Bolasie,78.0,82,16,2,2779
680,Thibaut Courtois,139.0,73,9,8,2724
682,Branislav Ivanovic,150.0,88,10,10,2347
699,Gary Cahill,84.0,83,15,12,1824
917,John Terry,139.0,78,12,8,2816
681,César Azpilicueta,87.0,83,23,5,1262
686,Cesc Fàbregas,147.0,77,5,4,859
697,Nemanja Matic,100.0,76,0,14,1200
700,Willian,153.0,72,11,3,2930
692,Oscar,157.0,69,21,4,2931
701,Eden Hazard,245.0,81,11,10,2234
802,Diego Costa,145.0,80,11,4,1776
696,Falcao,210.0,67,20,13,1186
935,Kurt Zouma,102.0,89,9,14,2118
694,Asmir Begovic,95.0,66,7,3,690
706,Lukasz Fabianski,219.0,68,16,7,1445
718,Kyle Naughton,97.0,69,8,15,1484
708,Federico Fernández,93.0,85,25,15,2216
709,Ashley Williams,158.0,70,1,8,1233
710,Neil Taylor,235.0,90,20,10,534
769,Jonjo Shelvey,101.0,86,8,15,1079
723,Ki Sung-yueng,127.0,78,12,7,2374
713,André Ayew,108.0,84,0,2,2015
714,Gylfi Sigurdsson,166.0,67,17,8,1948
715,Jefferson Montero,230.0,77,8,9,2632
717,Bafétimbi Gomis,139.0,77,7,2,1264
719,Wayne Routledge,76.0,84,4,11,818
963,Eder,155.0,79,10,7,1547
712,Jack Cork,146.0,81,12,6,2392
982,Tim Krul,245.0,73,21,2,2397
764,Daryl Janmaat,167.0,82,4,2,601
941,Fabricio Coloccini,171.0,65,2,15,2940
849,Chancel Mbemba,154.0,86,23,1,1016
943,Massadio Haidara,104.0,88,12,6,504
768,Vurnon Anita,223.0,68,16,0,2322
767,Jack Colback,179.0,86,21,6,969
772,Moussa Sissoko,121.0,82,19,14,872
771,Georginio Wijnaldum,145.0,89,20,12,1910
851,Gabriel Obertan,142.0,73,21,6,1163
850,Papiss Demba Cissé,127.0,89,7,15,1424
854,Cheick Tioté,145.0,85,13,3,2755
774,Siem de Jong,240.0,75,7,10,525
773,Aleksandar Mitrovic,177.0,68,18,6,1241
846,Maarten Stekelenburg,231.0,74,4,10,1274
847,Cédric Soares,138.0,78,13,9,2267
845,Maya Yoshida,241.0,70,9,14,1189
834,José Fonte,131.0,79,19,4,905
884,Matt Targett,86.0,65,10,3,2990
836,Victor Wanyama,78.0,88,14,4,1200
883,Steven Davis,89.0,88,17,7,776
840,Dusan Tadic,99.0,73,4,11,1944
838,Sadio Mané,243.0,81,6,12,2648
844,Jay Rodriguez,261.0,89,20,14,1009
841,Graziano Pellè,82.0,70,4,6,2639
839,Shane Long,158.0,81,18,12,2846
832,Cuco Martina,241.0,68,17,6,2502
491,Petr Cech,134.0,85,21,2,517
967,Mathieu Debuchy,182.0,74,25,8,1999
507,Per Mertesacker,169.0,85,6,13,2816
494,Laurent Koscielny,72.0,81,4,5,886
495,Nacho Monreal,203.0,84,9,9,2276
504,Aaron Ramsey,108.0,71,22,3,935
497,Francis Coquelin,135.0,69,22,4,959
966,Alex Oxlade-Chamberlain,145.0,76,16,14,2560
499,Mesut Özil,101.0,89,4,3,2288
965,Santiago Cazorla,89.0,70,13,3,1366
502,Olivier Giroud,118.0,82,24,7,2693
503,Theo Walcott,121.0,89,4,0,2021
498,Alexis Sánchez,173.0,81,20,14,1861
527,Adrián,171.0,65,18,5,2753
530,James Tomkins,145.0,84,5,8,2755
528,Angelo Ogbonna,130.0,75,10,0,834
529,Winston Reid,227.0,80,2,15,2910
534,Aaron Cresswell,179.0,65,17,14,1781
532,Cheikhou Kouyaté,171.0,68,17,11,2830
533,Mark Noble,151.0,76,23,8,2399
543,Reece Oxford,101.0,90,3,3,2426
939,Mauro Zárate,95.0,74,5,2,1185
656,Diafra Sakho,90.0,72,10,11,885
536,Dimitri Payet,221.0,66,4,13,2063
1029,Modibo Maiga,135.0,72,23,6,2777
1028,Kevin Nolan,230.0,83,0,4,2616
800,Matthew Jarvis,134.0,67,24,12,682
856,Jack Butland,71.0,67,10,13,706
944,Glen Johnson,156.0,88,13,10,1891
860,Marc Muniesa,74.0,80,13,1,1468
859,Geoff Cameron,209.0,67,9,14,2460
887,Erik Pieters,174.0,89,14,8,2691
862,Glenn Whelan,164.0,82,23,11,2973
946,Marco van Ginkel,152.0,89,20,3,1384
863,Jonathan Walters,81.0,69,23,1,775
873,Charlie Adam,174.0,69,8,12,2742
864,Ibrahim Afellay,172.0,86,4,13,2037
868,Mame Biram Diouf,85.0,80,24,6,2993
1007,Steve Sidwell,125.0,82,6,9,1133
858,Philipp Wollscheid,83.0,70,3,6,2582
1001,Peter Odemwingie,221.0,73,4,12,2883
487,Simon Mignolet,221.0,81,5,5,2464
603,Nathaniel Clyne,92.0,84,0,8,1206
602,Dejan Lovren,124.0,78,24,15,2585
607,Martin Skrtel,126.0,71,19,13,1630
987,Joseph Gomez,145.0,82,19,3,1858
489,James Milner,171.0,89,8,1,1773
605,Jordan Henderson,261.0,88,19,7,718
481,Jordon Ibe,245.0,87,18,3,893
488,Philippe Coutinho,135.0,71,19,7,2604
486,Adam Lallana,97.0,87,7,3,1065
606,Christian Benteke,238.0,74,19,1,1188
482,Roberto Firmino,154.0,77,7,1,2452
604,Emre Can,241.0,86,7,8,1165
820,Boaz Myhill,102.0,85,21,7,504
819,James Chester,118.0,76,0,2,721
664,Joleon Lescott,132.0,79,11,3,1227
804,Craig Dawson,91.0,81,2,8,2757
904,Chris Brunt,138.0,79,22,7,1375
812,Craig Gardner,207.0,68,24,12,1706
990,James Morrison,240.0,72,15,12,2698
809,Darren Fletcher,139.0,72,4,12,1022
814,James McClean,138.0,67,16,3,1436
811,Saido Berahino,83.0,75,19,7,1054
